fold_id,symbol,sector,entry_date,exit_date,entry_price,exit_price,shares,position_value,confidence,kelly_fraction,exit_reason,pnl,return_pct,was_correct,signal_score_raw,vix_at_entry,nifty_above_ema50_at_entry,fii_net_cr_at_entry,sector_score_at_entry,had_tier_a_news,mfe_pct,mae_pct,triggered_signals
1,PHOENIXLTD.NS,Realty,2021-02-15,2021-02-22,415.97,381.18,144,59899.68,64,0.125,STOP,-5086.24,-8.4913,False,64,0.0,True,0.0,100,False,0.6981,8.2271,"MACD hist 1.5487 > 0 | Price ₹415 > EMA20 ₹395 | Price ₹415 > EMA50 ₹381 | Volume 1.7× average | Sector Realty bullish (score 100) | Near 75d high (₹426, -2.5% away) — breakout setup | Nifty +1.00% (FII data unavailable — market signal neutral)"
1,ADANIPORTS.NS,Infrastructure,2021-02-15,2021-02-25,610.28,682.65,49,29903.72,64,0.125,TP1,3499.52,11.7026,True,64,0.0,True,0.0,100,False,12.0266,0.0,"⚠ RSI 78.2 > 75 (overbought — elevated reversal risk) | MACD hist 5.1570 > 0 | Price ₹609 > EMA20 ₹546 | Price ₹609 > EMA50 ₹498 | Volume 1.5× average | Sector Infrastructure bullish (score 100) | Near 75d high (₹621, -1.9% away) — breakout setup | Nifty +1.00% (FII data unavailable — market signal neutral)"
1,POWERGRID.NS,Infrastructure,2021-02-17,2021-02-26,98.35,91.34,610,59993.5,64,0.125,STOP,-4353.73,-7.257,False,64,0.0,True,0.0,100,False,2.6503,6.9854,"⚠ RSI 77.0 > 75 (overbought — elevated reversal risk) | MACD hist 1.1144 > 0 | Price ₹98 > EMA20 ₹89 | Price ₹98 > EMA50 ₹85 | Volume 1.5× average | Sector Infrastructure bullish (score 100) | Near 75d high (₹99, -0.5% away) — breakout setup"
1,MAHLIFE.NS,Realty,2021-02-15,2021-03-12,161.47,178.89,185,29871.95,64,0.125,TP1,3176.59,10.634,True,64,0.0,True,0.0,100,False,10.9572,4.1641,"⚠ RSI 86.8 > 75 (overbought — elevated reversal risk) | MACD hist 2.5030 > 0 | Price ₹161 > EMA20 ₹142 | Price ₹161 > EMA50 ₹126 | Volume 1.5× average | Sector Realty bullish (score 100) | Near 75d high (₹166, -2.8% away) — breakout setup | Nifty +1.00% (FII data unavailable — market signal neutral)"
1,ADANIPORTS.NS,Infrastructure,2021-02-15,2021-03-18,610.28,658.76,49,29903.72,64,0.125,TRAIL,2330.54,7.7935,True,64,0.0,True,0.0,100,False,19.6854,0.0,"⚠ RSI 78.2 > 75 (overbought — elevated reversal risk) | MACD hist 5.1570 > 0 | Price ₹609 > EMA20 ₹546 | Price ₹609 > EMA50 ₹498 | Volume 1.5× average | Sector Infrastructure bullish (score 100) | Near 75d high (₹621, -1.9% away) — breakout setup | Nifty +1.00% (FII data unavailable — market signal neutral)"
1,MAHLIFE.NS,Realty,2021-02-15,2021-03-31,161.47,185.69,186,30033.42,64,0.125,MAX_AGE,4456.8,14.8395,True,64,0.0,True,0.0,100,False,15.175,4.1641,"⚠ RSI 86.8 > 75 (overbought — elevated reversal risk) | MACD hist 2.5030 > 0 | Price ₹161 > EMA20 ₹142 | Price ₹161 > EMA50 ₹126 | Volume 1.5× average | Sector Realty bullish (score 100) | Near 75d high (₹166, -2.8% away) — breakout setup | Nifty +1.00% (FII data unavailable — market signal neutral)"
2,PHOENIXLTD.NS,Realty,2021-02-15,2021-02-22,415.97,381.18,144,59899.68,64,0.125,STOP,-5086.24,-8.4913,False,64,0.0,True,0.0,100,False,0.6981,8.2271,"MACD hist 1.5487 > 0 | Price ₹415 > EMA20 ₹395 | Price ₹415 > EMA50 ₹381 | Volume 1.7× average | Sector Realty bullish (score 100) | Near 75d high (₹426, -2.5% away) — breakout setup | Nifty +1.00% (FII data unavailable — market signal neutral)"
2,ADANIPORTS.NS,Infrastructure,2021-02-15,2021-02-25,610.28,682.65,49,29903.72,64,0.125,TP1,3499.52,11.7026,True,64,0.0,True,0.0,100,False,12.0266,0.0,"⚠ RSI 78.2 > 75 (overbought — elevated reversal risk) | MACD hist 5.1570 > 0 | Price ₹609 > EMA20 ₹546 | Price ₹609 > EMA50 ₹498 | Volume 1.5× average | Sector Infrastructure bullish (score 100) | Near 75d high (₹621, -1.9% away) — breakout setup | Nifty +1.00% (FII data unavailable — market signal neutral)"
2,POWERGRID.NS,Infrastructure,2021-02-17,2021-02-26,98.35,91.34,610,59993.5,64,0.125,STOP,-4353.73,-7.257,False,64,0.0,True,0.0,100,False,2.6503,6.9854,"⚠ RSI 77.0 > 75 (overbought — elevated reversal risk) | MACD hist 1.1144 > 0 | Price ₹98 > EMA20 ₹89 | Price ₹98 > EMA50 ₹85 | Volume 1.5× average | Sector Infrastructure bullish (score 100) | Near 75d high (₹99, -0.5% away) — breakout setup"
2,MAHLIFE.NS,Realty,2021-02-15,2021-03-12,161.47,178.89,185,29871.95,64,0.125,TP1,3176.59,10.634,True,64,0.0,True,0.0,100,False,10.9572,4.1641,"⚠ RSI 86.8 > 75 (overbought — elevated reversal risk) | MACD hist 2.5030 > 0 | Price ₹161 > EMA20 ₹142 | Price ₹161 > EMA50 ₹126 | Volume 1.5× average | Sector Realty bullish (score 100) | Near 75d high (₹166, -2.8% away) — breakout setup | Nifty +1.00% (FII data unavailable — market signal neutral)"
