fold_id,start_date,end_date,initial_value,final_value,cagr_pct,sharpe,sortino,max_drawdown_pct,max_dd_duration_days,win_rate_pct,profit_factor,total_trades,winning_trades,losing_trades,avg_hold_days,avg_win_pct,avg_loss_pct,alpha_pct,vs_nifty_cagr_pct,annualised_turnover,passes_gate
1,2021-01-01,2021-03-31,1000000.0,1000000.0,0.0,0.0,10.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,-21.1772,21.1772,0.0,False
2,2021-02-01,2021-04-30,1000000.0,1000000.0,0.0,0.0,10.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,-10.561,10.561,0.0,False
3,2021-03-01,2021-05-31,1000000.0,1000000.0,0.0,0.0,10.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,-24.2546,24.2546,0.0,False
4,2021-04-01,2021-06-30,1000000.0,1000000.0,0.0,0.0,10.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,-25.4266,25.4266,0.0,False
5,2021-05-01,2021-07-31,1000000.0,1000000.0,0.0,0.0,10.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,-34.7242,34.7242,0.0,False
6,2021-06-01,2021-08-31,1000000.0,1000000.0,0.0,0.0,10.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,-46.5588,46.5588,0.0,False
7,2021-07-01,2021-09-30,1000000.0,1000000.0,0.0,0.0,10.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,-59.5928,59.5928,0.0,False
8,2021-08-01,2021-10-31,1000000.0,1000000.0,0.0,0.0,10.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,-53.3387,53.3387,0.0,False
9,2021-09-01,2021-11-30,1000000.0,1000000.0,0.0,0.0,10.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.1916,-2.1916,0.0,False
10,2021-10-01,2021-12-31,1000000.0,1000000.0,0.0,0.0,10.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,4.0105,-4.0105,0.0,False
