fold_id,start_date,end_date,initial_value,final_value,cagr_pct,sharpe,sortino,max_drawdown_pct,max_dd_duration_days,win_rate_pct,profit_factor,total_trades,winning_trades,losing_trades,avg_hold_days,avg_win_pct,avg_loss_pct,alpha_pct,vs_nifty_cagr_pct,annualised_turnover,passes_gate,baseline_nifty_sharpe,baseline_nifty_sortino,baseline_nifty_max_dd_pct
1,2021-01-01,2021-03-31,1000000.0,1004796.54,1.9818,0.696,0.4439,0.8509,6,50.0,1.5219,4,2,2,22.5,11.9986,-7.8742,-19.1954,21.1772,0.9816,False,1.0185,1.1268,6.8974
2,2021-02-01,2021-04-30,1000000.0,1004796.54,2.0045,0.7017,0.4515,0.8509,6,50.0,1.5219,4,2,2,22.5,11.9986,-7.8742,-8.5565,10.561,0.9913,False,0.6035,0.5515,6.6492
3,2021-03-01,2021-05-31,1000000.0,995875.94,-1.6439,-1.5071,-0.293,0.5808,4,0.0,0.0,4,0,4,2.0,0.0,-2.0345,-25.8985,24.2546,0.9564,False,1.3722,1.2411,6.2261
4,2021-04-01,2021-06-30,1000000.0,995698.49,-1.7331,-0.6503,-0.3957,1.604,8,50.0,0.6839,10,5,5,17.4,3.5539,-5.1554,-27.1596,25.4266,2.4098,False,1.7038,1.466,3.882
5,2021-05-01,2021-07-31,1000000.0,1003193.96,1.2873,0.4243,0.3424,1.604,8,20.0,1.1997,10,2,8,24.1,17.7463,-3.6968,-33.4369,34.7242,2.385,False,3.0486,3.5898,1.8343
6,2021-06-01,2021-08-31,1000000.0,1000576.8,0.2316,0.0955,0.0617,1.1305,22,20.0,1.0547,10,2,8,27.6,14.5633,-3.4451,-46.3272,46.5588,2.3797,False,4.3915,5.0531,1.8343
7,2021-07-01,2021-09-30,1000000.0,1036213.18,15.3364,2.5873,2.6771,3.2023,17,52.63,3.2029,19,10,9,30.47,8.9739,-3.0447,-44.2564,59.5928,4.4282,False,5.0455,6.0087,1.8343
8,2021-08-01,2021-10-31,1000000.0,1052277.44,22.6773,3.8257,5.0676,1.178,3,57.14,4.064,14,8,6,28.36,14.7976,-4.7641,-30.6614,53.3387,3.2209,False,4.1179,4.1653,4.3589
9,2021-09-01,2021-11-30,1000000.0,1002593.79,1.0561,0.3103,0.2305,1.3939,18,45.45,1.2198,11,5,6,19.73,5.4647,-3.7374,3.2477,-2.1916,2.6472,False,-0.1087,-0.101,8.0849
10,2021-10-01,2021-12-31,1000000.0,993781.63,-2.4709,-0.4521,-0.3695,2.2729,36,36.36,0.6804,11,4,7,23.64,5.2329,-4.5998,1.5395,-4.0105,2.5617,False,-0.1908,-0.1771,10.082
11,2021-11-01,2022-01-31,1000000.0,979096.03,-8.1244,-2.8104,-1.8711,2.1837,25,12.5,0.1241,8,1,7,14.88,4.9539,-5.7258,4.4308,-12.5551,1.9152,False,-0.7503,-0.6913,8.2567
12,2021-12-01,2022-02-28,1000000.0,989881.35,-4.0851,-3.2844,-1.4095,1.1833,13,0.0,0.0,3,0,3,10.0,0.0,-5.6357,4.5301,-8.6152,0.733,False,-0.3225,-0.2999,11.2527
13,2022-01-01,2022-03-31,1000000.0,996343.96,-1.4909,-2.9879,-0.6619,0.3656,4,0.0,0.0,1,0,1,3.0,0.0,-6.1329,2.2014,-3.6923,0.2432,False,-0.0686,-0.0654,13.3545
14,2022-02-01,2022-04-30,1000000.0,1000000.0,0.0,0.0,10.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,10.7261,-10.7261,0.0,False,-0.4078,-0.4215,10.7809
15,2022-03-01,2022-05-31,1000000.0,1000000.0,0.0,0.0,10.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.5159,-0.5159,0.0,False,0.0749,0.0855,12.5807
16,2022-04-01,2022-06-30,1000000.0,1000000.0,0.0,0.0,10.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,36.7973,-36.7973,0.0,False,-2.2981,-2.4747,15.2874
17,2022-05-01,2022-07-31,1000000.0,1000000.0,0.0,0.0,10.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,-2.1114,2.1114,0.0,False,0.2039,0.2154,10.4024
18,2022-06-01,2022-08-31,1000000.0,1000000.0,0.0,0.0,10.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,-33.573,33.573,0.0,False,2.0163,1.9228,8.0256
19,2022-07-01,2022-09-30,1000000.0,1000000.0,0.0,0.0,10.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,-38.8201,38.8201,0.0,False,2.3806,2.374,6.9283
20,2022-08-01,2022-10-31,1000000.0,1001271.29,0.5109,2.0494,10.0,0.0,0,28.57,0.973,7,2,5,1.71,2.0966,-0.863,-15.9679,16.4788,1.665,False,1.161,1.1047,6.9283
21,2022-09-01,2022-11-30,1000000.0,1010885.24,4.4885,1.6078,1.1556,1.0016,13,70.0,2.083,10,7,3,24.0,4.5956,-5.1535,-26.7312,31.2197,2.4035,False,2.1543,2.2046,6.9283
22,2022-10-01,2022-12-31,1000000.0,1018894.38,7.7968,2.5317,2.346,1.0016,13,60.0,2.8845,10,6,4,33.6,8.2444,-4.2931,-24.4269,32.2237,2.3618,False,2.5056,2.6233,5.3459
23,2022-11-01,2023-01-31,1000000.0,1009918.85,4.0382,1.5943,1.4915,0.6532,7,55.56,1.9648,9,5,4,30.0,6.9918,-4.4594,14.2997,-10.2614,2.1326,True,-0.9229,-0.8837,6.4221
24,2022-12-01,2023-02-28,1000000.0,980188.63,-7.8787,-2.9501,-1.1985,2.2675,13,0.0,0.0,7,0,7,10.0,0.0,-4.7013,21.1432,-29.022,1.7405,False,-3.0406,-2.935,8.0189
25,2023-01-01,2023-03-31,1000000.0,978000.37,-8.7193,-3.5021,-2.3673,2.2,39,0.0,0.0,8,0,8,17.62,0.0,-4.549,8.8551,-17.5744,1.9896,False,-1.5947,-1.6739,7.0615
26,2023-02-01,2023-04-30,1000000.0,997755.2,-0.9278,-0.3179,-0.1954,1.2808,7,50.0,0.8285,6,3,3,30.0,6.0466,-6.7344,-11.9236,10.9958,1.4408,False,1.0849,1.148,6.0479
27,2023-03-01,2023-05-31,1000000.0,1010997.2,4.4845,1.4418,1.0219,0.7458,9,50.0,1.6683,10,5,5,32.9,9.2148,-5.4904,-22.8453,27.3299,2.3693,False,2.5942,2.5295,4.5586
28,2023-04-01,2023-06-30,1000000.0,1012299.04,5.0825,1.6017,1.3003,0.7458,9,50.0,1.7701,10,5,5,35.0,9.7777,-5.4904,-43.7082,48.7907,2.386,False,5.3661,5.6713,1.4615
29,2023-05-01,2023-07-31,1000000.0,999742.7,-0.1032,-0.0158,-0.0085,1.5718,11,33.33,1.002,9,3,6,17.44,9.7458,-4.8178,-40.6192,40.516,2.1601,False,4.113,3.9562,1.6672
30,2023-06-01,2023-08-31,1000000.0,1016189.4,6.6535,1.9703,1.3232,1.2983,5,55.56,2.703,9,5,4,27.0,8.8571,-4.0556,-11.0321,17.6856,2.1044,False,2.0666,1.8725,3.6305
31,2023-07-01,2023-09-30,1000000.0,993396.2,-2.6226,-1.0925,-0.7507,0.9948,16,22.22,0.5438,9,2,7,16.78,6.3644,-3.3119,-9.3399,6.7174,2.158,False,0.8367,0.709,3.6305
32,2023-08-01,2023-10-31,1000000.0,982226.58,-6.9404,-2.7051,-1.6743,2.0245,9,11.11,0.0594,9,1,8,16.44,1.8704,-3.8973,5.7031,-12.6435,2.1806,False,-1.4623,-1.3047,6.6119
33,2023-09-01,2023-11-30,1000000.0,985581.83,-5.7198,-1.4016,-0.8973,2.6093,18,30.0,0.2481,10,3,7,24.4,2.5994,-4.477,-21.1005,15.3807,2.4378,False,1.6504,1.6194,6.6119
34,2023-10-01,2023-12-31,1000000.0,1022801.58,9.4645,2.6678,2.6324,1.3879,11,33.33,5.0089,6,2,4,26.67,24.2883,-2.3993,-44.0549,53.5193,1.4106,False,4.3715,4.8453,4.8166
35,2023-11-01,2024-01-31,1000000.0,1095166.24,43.9972,4.9445,5.7211,1.1792,3,80.0,10.9742,20,16,4,26.25,10.9147,-3.8242,-27.6021,71.5993,4.6219,False,4.7461,4.495,3.8857
36,2023-12-01,2024-02-29,1000000.0,1026411.15,11.1513,1.832,1.8469,1.7614,15,68.42,3.4715,19,13,6,25.58,4.8693,-3.0314,-27.8622,39.0134,4.51,False,2.7506,2.5155,3.8857
37,2024-01-01,2024-03-31,1000000.0,1041152.66,17.7689,2.6153,3.0454,1.2086,1,70.0,5.2329,10,7,3,23.5,12.4203,-5.4594,6.3999,11.369,2.3351,True,0.9763,0.8502,3.8857
38,2024-02-01,2024-04-30,1000000.0,979609.74,-8.1017,-0.9628,-0.6804,5.0276,22,30.77,0.2923,13,4,9,20.54,3.4435,-5.2657,-26.3979,18.2963,3.1932,False,1.7909,1.6308,3.3311
39,2024-03-01,2024-05-31,1000000.0,988081.66,-4.6953,-3.4006,-1.0958,1.209,9,0.0,0.0,3,0,3,9.33,0.0,-6.6421,-8.1867,3.4913,0.7176,False,0.4107,0.3775,3.4996
40,2024-04-01,2024-06-30,1000000.0,1072793.75,32.972,3.0116,2.4795,3.4245,4,63.64,8.5123,11,7,4,32.55,19.7091,-4.1022,1.9251,31.047,2.5316,True,1.6221,1.4377,5.9294
41,2024-05-01,2024-07-31,1000000.0,1007356.18,2.9834,0.7464,0.5511,1.6623,7,41.67,1.3579,12,5,7,27.25,9.0063,-4.7023,-44.4819,47.4653,2.8512,False,2.2907,1.9904,5.9294
42,2024-06-01,2024-08-31,1000000.0,1001181.99,0.4749,0.1427,0.0837,1.6621,7,30.0,1.0716,10,3,7,29.8,12.7437,-5.0688,-38.1155,38.5905,2.3685,False,1.9713,1.4525,5.9294
