metric,value
overall_cagr_pct,7.116
overall_alpha_pct,-6.8456
vs_nifty_cagr_pct,13.9616
overall_sharpe,0.6555
overall_sortino,0.4547
overall_max_drawdown_pct,6.8117
overall_win_rate_pct,43.6
overall_profit_factor,1.5358
total_trades,367
total_folds,46
folds_passing_gate,3
mean_cagr_pct,2.8688
mean_sharpe,0.1002
mean_sortino,1.9497
mean_max_drawdown_pct,1.3077
worst_drawdown_pct,5.0276
mean_win_rate_pct,36.01
mean_profit_factor,1.7884
mean_alpha_pct,-13.1104
passes_gate,False
baseline_nifty_sharpe,0.9948
baseline_nifty_sortino,0.9523
baseline_nifty_max_dd_pct,17.2298
