fold_id,start_date,end_date,initial_value,final_value,cagr_pct,sharpe,sortino,max_drawdown_pct,max_dd_duration_days,win_rate_pct,profit_factor,total_trades,winning_trades,losing_trades,avg_hold_days,avg_win_pct,avg_loss_pct,alpha_pct,vs_nifty_cagr_pct,annualised_turnover,passes_gate
1,2021-01-01,2021-03-31,1000000.0,986709.09,-5.3395,-3.0556,-2.3957,2.1161,15,23.08,0.5589,13,3,10,11.54,9.5642,-5.1354,-26.5166,21.1772,3.1558,False
2,2021-02-01,2021-04-30,1000000.0,998015.48,-0.8206,-2.7468,-1.6405,0.955,2,28.57,0.8597,7,2,5,10.86,10.1699,-4.7311,-11.3816,10.561,1.7377,False
3,2021-03-01,2021-05-31,1000000.0,997195.97,-1.12,-2.6875,-1.5285,1.0878,5,15.79,0.8825,19,3,16,7.37,11.7331,-2.4883,-25.3746,24.2546,4.5214,False
4,2021-04-01,2021-06-30,1000000.0,1010597.94,4.3681,-0.4811,-0.4575,1.1909,8,26.67,1.2817,30,8,22,12.67,10.1282,-2.8624,-21.0584,25.4266,7.2077,False
5,2021-05-01,2021-07-31,1000000.0,1027886.11,11.6635,0.9064,0.9869,1.2876,17,28.89,1.5549,45,13,32,13.76,10.0747,-2.6323,-23.0607,34.7242,10.6908,False
6,2021-06-01,2021-08-31,1000000.0,1093213.59,42.9702,5.1954,5.6866,0.8841,2,38.64,41.165,44,17,27,16.23,9.1777,-0.1285,-3.5886,46.5588,10.4188,False
7,2021-07-01,2021-09-30,1000000.0,1058259.34,25.4985,3.0622,3.3349,0.9644,5,39.02,2.8486,41,16,25,16.9,9.3323,-2.0786,-34.0942,59.5928,9.6725,False
8,2021-08-01,2021-10-31,1000000.0,1081119.42,36.731,3.4971,4.5785,1.5875,5,46.81,2.5728,47,22,25,14.38,9.8644,-3.3322,-16.6077,53.3387,11.1012,False
9,2021-09-01,2021-11-30,1000000.0,1015714.52,6.5278,0.0463,0.0543,4.1817,29,27.91,1.246,43,12,31,14.91,11.0034,-3.3344,8.7194,-2.1916,10.3587,False
10,2021-10-01,2021-12-31,1000000.0,1014781.64,6.0621,-0.0459,-0.043,4.3186,33,32.35,1.2624,34,11,23,12.21,10.6621,-3.9882,10.0726,-4.0105,8.1169,False
11,2021-11-01,2022-01-31,1000000.0,923877.48,-27.2087,-7.9482,-5.3263,8.0048,55,6.67,0.1331,30,2,28,11.1,10.0444,-5.4404,-14.6535,-12.5551,7.1508,False
12,2021-12-01,2022-02-28,1000000.0,953689.5,-17.6724,-6.3496,-4.3608,4.8476,29,5.26,0.1221,19,1,18,11.11,10.7494,-4.9922,-9.0572,-8.6152,4.6569,False
13,2022-01-01,2022-03-31,1000000.0,965383.5,-13.4529,-4.7093,-3.3746,4.0203,20,10.53,0.2493,19,2,17,11.68,9.7748,-4.5965,-9.7607,-3.6923,4.7045,False
14,2022-02-01,2022-04-30,1000000.0,987063.28,-5.2576,-3.0894,-2.1088,2.1577,55,8.33,0.3371,12,1,11,10.25,11.1107,-2.9991,5.4686,-10.7261,2.9531,False
15,2022-03-01,2022-05-31,1000000.0,976013.38,-9.2791,-3.9988,-2.4555,2.6191,22,10.0,0.2152,10,1,9,14.5,11.1107,-5.7099,-8.7633,-0.5159,2.406,False
16,2022-04-01,2022-06-30,1000000.0,976013.38,-9.3772,-3.9915,-2.431,2.6191,22,10.0,0.2152,10,1,9,14.5,11.1107,-5.7099,27.4201,-36.7973,2.4535,False
17,2022-05-01,2022-07-31,1000000.0,1011891.64,4.8558,-0.7749,-0.4913,0.5986,3,0.0,0.0,8,0,8,10.5,0.0,2.5006,2.7444,2.1114,1.9111,False
18,2022-06-01,2022-08-31,1000000.0,1016971.11,6.983,0.1017,0.0674,1.4595,3,29.41,3.1824,17,5,12,16.94,8.3229,-1.0539,-26.59,33.573,4.0592,False
19,2022-07-01,2022-09-30,1000000.0,993314.12,-2.6548,-1.5838,-1.1714,3.0948,29,21.74,0.7873,23,5,18,17.61,8.3229,-2.8787,-41.4749,38.8201,5.4825,False
20,2022-08-01,2022-10-31,1000000.0,979749.78,-7.8781,-2.7461,-2.2808,3.9988,51,15.62,0.562,32,5,27,10.53,8.8423,-2.886,-24.3569,16.4788,7.6311,False
21,2022-09-01,2022-11-30,1000000.0,1001642.84,0.6679,-1.0511,-0.8186,3.1121,27,20.0,1.0539,30,6,24,13.33,9.1805,-2.1348,-30.5518,31.2197,7.2636,False
22,2022-10-01,2022-12-31,1000000.0,1011648.65,4.7548,-0.311,-0.2793,2.4237,13,28.12,1.3113,32,9,23,15.03,9.0557,-2.657,-27.4689,32.2237,7.6471,False
23,2022-11-01,2023-01-31,1000000.0,965141.4,-13.265,-4.1972,-3.9557,5.2193,41,8.57,0.3444,35,3,32,15.14,10.3296,-2.7958,-3.0036,-10.2614,8.3709,False
24,2022-12-01,2023-02-28,1000000.0,944622.85,-20.8353,-5.4449,-4.2452,6.3407,60,3.23,0.0798,31,1,30,13.13,8.0265,-3.425,8.1867,-29.022,7.6312,False
25,2023-01-01,2023-03-31,1000000.0,981842.63,-7.2396,-3.3614,-2.7136,2.6092,39,0.0,0.0,17,0,17,19.06,0.0,-1.7907,10.3348,-17.5744,4.1426,False
26,2023-02-01,2023-04-30,1000000.0,1012086.71,5.1094,-0.2869,-0.2214,1.224,7,6.25,0.6581,16,1,15,18.19,8.3177,0.8426,-5.8864,10.9958,3.8989,False
27,2023-03-01,2023-05-31,1000000.0,1021809.16,9.0391,0.6941,0.5241,0.8329,3,17.39,12.6648,23,4,19,17.48,10.022,-0.1434,-18.2908,27.3299,5.418,False
28,2023-04-01,2023-06-30,1000000.0,1043606.59,18.8987,2.3468,2.3327,0.875,2,23.53,41.2799,34,8,26,18.88,9.3611,-0.0548,-29.892,48.7907,8.0682,False
29,2023-05-01,2023-07-31,1000000.0,1061529.72,27.0614,3.4013,3.5386,1.2204,8,25.0,3.6442,36,9,27,19.92,8.8487,0.8159,-13.4546,40.516,8.5373,False
30,2023-06-01,2023-08-31,1000000.0,1067966.51,30.18,3.4003,3.6467,1.4369,11,32.5,21.2196,40,13,27,18.18,9.0508,-0.197,12.4944,17.6856,9.3174,False
31,2023-07-01,2023-09-30,1000000.0,1058880.94,25.7945,2.5968,2.6695,1.1736,11,28.95,7.8228,38,11,27,18.45,10.2125,-0.5379,19.0771,6.7174,8.9358,False
32,2023-08-01,2023-10-31,1000000.0,1005627.91,2.2765,-0.5818,-0.6361,2.353,29,22.22,1.1469,36,8,28,18.89,9.2629,-2.2644,14.92,-12.6435,8.5231,False
33,2023-09-01,2023-11-30,1000000.0,1028816.12,12.2113,0.9643,1.0777,2.0045,11,10.34,2.4671,29,3,26,19.62,11.386,0.5293,-3.1694,15.3807,6.8915,False
34,2023-10-01,2023-12-31,1000000.0,1057858.34,25.3079,3.0143,3.372,2.6286,12,33.33,393.6424,30,10,20,16.53,9.7512,0.0282,-28.2114,53.5193,7.1224,False
35,2023-11-01,2024-01-31,1000000.0,1084677.53,38.5449,4.3034,4.7408,1.1445,7,44.44,7.596,36,16,20,16.94,10.033,-0.9953,-33.0544,71.5993,8.6007,False
36,2023-12-01,2024-02-29,1000000.0,1055701.96,24.5871,1.9755,2.0312,1.4545,6,31.25,2.4779,48,15,33,14.94,10.3085,-1.8318,-14.4263,39.0134,11.3335,False
37,2024-01-01,2024-03-31,1000000.0,1021788.99,9.1352,0.3673,0.3655,2.6974,9,28.57,1.3312,49,14,35,12.78,10.5523,-3.1389,-2.2338,11.369,11.6909,False
38,2024-02-01,2024-04-30,1000000.0,1042832.68,18.7683,1.6158,1.3721,2.8509,9,35.56,1.9176,45,16,29,14.13,9.4267,-2.7004,0.472,18.2963,10.7868,False
39,2024-03-01,2024-05-31,1000000.0,1020656.51,8.5465,0.4363,0.3191,2.2899,7,36.11,1.3835,36,13,23,14.92,9.5986,-3.8939,5.0552,3.4913,8.4587,False
40,2024-04-01,2024-06-30,1000000.0,1050815.29,22.2648,2.2774,1.9144,2.5753,4,35.9,2.3883,39,14,25,13.46,10.4635,-2.4363,-8.7821,31.047,9.2507,False
41,2024-05-01,2024-07-31,1000000.0,1061960.88,27.2685,2.8318,2.7999,2.9406,5,28.95,11.2496,38,11,27,15.76,10.5462,-0.3502,-20.1968,47.4653,8.9119,False
42,2024-06-01,2024-08-31,1000000.0,1080979.06,36.6598,4.3565,4.9812,1.634,3,31.43,4.5447,35,11,24,18.43,10.2065,0.9613,-1.9307,38.5905,8.1228,False
43,2024-07-01,2024-09-30,1000000.0,1069407.42,30.886,3.3642,3.5177,1.2704,4,24.32,3.253,37,9,28,19.22,10.1153,0.9349,0.1368,30.7492,8.6373,False
44,2024-08-01,2024-10-31,1000000.0,989236.81,-4.2477,-1.709,-1.4725,3.3318,23,20.0,0.7794,35,7,28,15.51,9.3912,-3.0086,8.0579,-12.3056,8.1435,False
45,2024-09-01,2024-11-30,1000000.0,954290.91,-17.2831,-5.4354,-3.8178,4.6934,39,4.35,0.1146,23,1,22,13.7,10.901,-4.0667,-0.1094,-17.1736,5.542,False
46,2024-10-01,2024-12-31,1000000.0,968244.91,-12.1409,-6.7068,-3.9904,3.3295,58,6.25,0.1278,16,1,15,11.25,8.0131,-4.2154,17.3481,-29.489,3.7524,False
