fold_id,symbol,sector,entry_date,exit_date,entry_price,exit_price,shares,position_value,confidence,kelly_fraction,exit_reason,pnl,return_pct,was_correct
1,LALPATHLAB.NS,Healthcare,2021-01-01,2021-01-15,1158.01,1104.25,51,59058.51,64,0.125,STOP,-2741.54,-4.6421,False
1,MOIL.NS,Metals,2021-01-01,2021-01-18,125.06,119.53,479,59903.74,64,0.125,STOP,-2646.95,-4.4187,False
1,EICHERMOT.NS,Auto,2021-01-22,2021-01-27,2834.08,2659.89,21,59515.68,64,0.125,STOP,-3657.91,-6.1461,False
1,ASHOKLEY.NS,Auto,2021-01-22,2021-01-27,55.88,52.64,1067,59623.96,64,0.125,STOP,-3460.23,-5.8034,False
1,HAVELLS.NS,Consumer,2021-01-22,2021-01-29,1085.64,1013.03,54,58624.560000000005,64,0.125,STOP,-3920.81,-6.688,False
1,HEROMOTOCO.NS,Auto,2021-01-22,2021-02-17,2785.38,3018.04,21,58492.98,64,0.125,TARGET,4885.86,8.3529,True
1,PHOENIXLTD.NS,Realty,2021-02-15,2021-02-22,415.35,381.75,142,58979.700000000004,64,0.125,STOP,-4771.53,-8.0901,False
1,MAHLIFE.NS,Realty,2021-02-15,2021-02-22,161.23,154.75,366,59010.17999999999,64,0.125,STOP,-2373.05,-4.0214,False
1,ATUL.NS,Chemicals,2021-02-15,2021-02-22,6607.04,6319.27,8,52856.32,64,0.125,STOP,-2302.18,-4.3555,False
1,INDUSTOWER.NS,Telecom,2021-02-17,2021-02-24,242.55,262.31,244,59182.200000000004,64,0.125,TARGET,4820.86,8.1458,True
1,ADANIPORTS.NS,Infrastructure,2021-02-15,2021-02-25,609.37,683.68,96,58499.520000000004,64,0.125,TARGET,7133.4,12.1939,True
1,POWERGRID.NS,Infrastructure,2021-02-17,2021-02-26,98.2,91.48,603,59214.6,64,0.125,STOP,-4052.25,-6.8433,False
1,HINDPETRO.NS,Energy,2021-02-17,2021-03-18,124.81,124.38,475,59284.75,64,0.125,MAX_AGE,-204.57,-0.3451,False
2,PHOENIXLTD.NS,Realty,2021-02-15,2021-02-22,415.35,381.75,144,59810.4,64,0.125,STOP,-4838.73,-8.0901,False
2,MAHLIFE.NS,Realty,2021-02-15,2021-02-22,161.23,154.75,372,59977.56,64,0.125,STOP,-2411.96,-4.0214,False
