announcement_date,effective_date,index_name,symbol,event_type
2005-02-04,2005-02-25,NIFTY 50,TCS,inclusion
2006-06-06,2006-06-27,NIFTY 50,TCS,exclusion
2006-08-11,2006-09-01,NIFTY 50,RELIANCE,inclusion
2006-08-11,2006-09-01,NIFTY 50,TCS,exclusion
2007-03-14,2007-04-04,NIFTY 50,RELIANCE,inclusion
2007-09-03,2007-09-24,NIFTY 50,NTPC,inclusion
2007-11-21,2007-12-12,NIFTY 50,HINDUNILVR,exclusion
2008-02-22,2008-03-14,NIFTY 50,BAJAJ-AUTO,exclusion
2008-02-22,2008-03-14,NIFTY 50,POWERGRID,inclusion
2008-08-20,2008-09-10,NIFTY 50,DRREDDY,exclusion
2008-08-20,2008-09-10,NIFTY 50,RELIANCE,inclusion
2008-12-22,2009-01-12,NIFTY 50,RELIANCE,inclusion
2009-03-06,2009-03-27,NIFTY 50,AXISBANK,inclusion
2009-05-27,2009-06-17,NIFTY 50,RELIANCE,exclusion
2009-09-29,2009-10-20,NIFTY 50,TCS,exclusion
2010-03-18,2010-04-08,NIFTY 50,GRASIM,exclusion
2010-03-18,2010-04-08,NIFTY 50,KOTAKBANK,inclusion
2010-09-10,2010-10-01,NIFTY 50,BAJAJ-AUTO,inclusion
2010-09-10,2010-10-01,NIFTY 50,DRREDDY,inclusion
2011-03-04,2011-03-25,NIFTY 50,GRASIM,inclusion
2011-09-19,2011-10-10,NIFTY 50,COALINDIA,inclusion
2011-09-19,2011-10-10,NIFTY 50,RELIANCE,exclusion
2012-04-06,2012-04-27,NIFTY 50,ASIANPAINT,inclusion
2012-04-06,2012-04-27,NIFTY 50,RELIANCE,exclusion
2012-09-07,2012-09-28,NIFTY 50,ULTRACEMCO,inclusion
2013-03-11,2013-04-01,NIFTY 50,WIPRO,exclusion
2013-09-06,2013-09-27,NIFTY 50,RELIANCE,exclusion
2013-09-06,2013-09-27,NIFTY 50,WIPRO,inclusion
2014-03-07,2014-03-28,NIFTY 50,TECHM,inclusion
2015-09-07,2015-09-28,NIFTY 50,ADANIPORTS,inclusion
2016-03-11,2016-04-01,NIFTY 50,BHARTIARTL,inclusion
2016-03-11,2016-04-01,NIFTY 50,EICHERMOT,inclusion
2017-05-05,2017-05-26,NIFTY 50,GRASIM,exclusion
2017-09-08,2017-09-29,NIFTY 50,BAJFINANCE,inclusion
2017-09-08,2017-09-29,NIFTY 50,HINDUNILVR,inclusion
2017-09-08,2017-09-29,NIFTY 50,TCS,exclusion
2018-03-12,2018-04-02,NIFTY 50,BAJAJFINSV,inclusion
2018-03-12,2018-04-02,NIFTY 50,GRASIM,inclusion
2018-03-12,2018-04-02,NIFTY 50,TITAN,inclusion
2018-09-07,2018-09-28,NIFTY 50,JSWSTEEL,inclusion
2019-03-08,2019-03-29,NIFTY 50,HINDUNILVR,exclusion
2019-09-06,2019-09-27,NIFTY 50,NESTLEIND,inclusion
2020-07-10,2020-07-31,NIFTY 50,HDFCLIFE,inclusion
2020-09-04,2020-09-25,NIFTY 50,BHARTIARTL,exclusion
2020-09-04,2020-09-25,NIFTY 50,SBILIFE,inclusion
2021-03-10,2021-03-31,NIFTY 50,TATACONSUM,inclusion
2022-03-10,2022-03-31,NIFTY 50,APOLLOHOSP,inclusion
2022-09-09,2022-09-30,NIFTY 50,ADANIENT,inclusion
2023-06-22,2023-07-13,NIFTY 50,HDFCBANK,exclusion
2023-08-17,2023-09-29,NIFTY NEXT 50,ACC,exclusion
2023-08-17,2023-09-29,NIFTY NEXT 50,HDFCAMC,exclusion
2023-08-17,2023-09-29,NIFTY NEXT 50,INDUSTOWER,exclusion
2023-08-17,2023-09-29,NIFTY NEXT 50,NYKAA,exclusion
