symbol,company_name,sector
AARTIIND,Aarti Industries Ltd,CHEMICALS
ABBOTINDIA,Abbott India Ltd,PHARMACEUTICALS
ABCAPITAL,Aditya Birla Capital Ltd,FINANCIAL SERVICES
ABFRL,Aditya Birla Fashion and Retail Ltd,CONSUMER DISCRETIONARY
ACC,ACC Ltd,CEMENT
AIAENG,AIA Engineering Ltd,CAPITAL GOODS
AJANTPHARM,Ajanta Pharma Ltd,PHARMACEUTICALS
ALKEM,Alkem Laboratories Ltd,PHARMACEUTICALS
ANGELONE,Angel One Ltd,FINANCIAL SERVICES
APLAPOLLO,APL Apollo Tubes Ltd,METALS & MINING
APOLLOHOSP,Apollo Hospitals Enterprise Ltd,HEALTHCARE
APOLLOTYRE,Apollo Tyres Ltd,CONSUMER DISCRETIONARY
ARVINDFASN,Arvind Fashions Ltd,CONSUMER DISCRETIONARY
ASAHIINDIA,Asahi India Glass Ltd,CAPITAL GOODS
ASTRAZEN,AstraZeneca Pharma India Ltd,PHARMACEUTICALS
ASTRAL,Astral Ltd,CAPITAL GOODS
ATUL,Atul Ltd,CHEMICALS
AUBANK,AU Small Finance Bank Ltd,FINANCIAL SERVICES
AUROPHARMA,Aurobindo Pharma Ltd,PHARMACEUTICALS
BALKRISIND,Balkrishna Industries Ltd,CONSUMER DISCRETIONARY
BALRAMCHIN,Balrampur Chini Mills Ltd,CONSUMER STAPLES
BANDHANBNK,Bandhan Bank Ltd,FINANCIAL SERVICES
BATAINDIA,Bata India Ltd,CONSUMER DISCRETIONARY
BAYERCROP,Bayer CropScience Ltd,CHEMICALS
BERGEPAINT,Berger Paints India Ltd,CONSUMER DISCRETIONARY
BHARATFORG,Bharat Forge Ltd,CAPITAL GOODS
BHARTIARTL,Bharti Airtel Ltd,TELECOM
BHEL,Bharat Heavy Electricals Ltd,CAPITAL GOODS
BIOCON,Biocon Ltd,PHARMACEUTICALS
BLUESTARCO,Blue Star Ltd,CONSUMER DISCRETIONARY
BPCL,Bharat Petroleum Corporation Ltd,OIL & GAS
BRIGADE,Brigade Enterprises Ltd,REAL ESTATE
BRITANNIA,Britannia Industries Ltd,CONSUMER STAPLES
BSOFT,BIRLASOFT Ltd,IT
CAMS,Computer Age Management Services Ltd,FINANCIAL SERVICES
CANFINHOME,Can Fin Homes Ltd,FINANCIAL SERVICES
CDSL,Central Depository Services Ltd,FINANCIAL SERVICES
CEATLTD,CEAT Ltd,CONSUMER DISCRETIONARY
CENTURYPLY,Century Plyboards Ltd,CONSUMER DISCRETIONARY
CENTURYTEX,Century Textiles & Industries Ltd,CONSUMER DISCRETIONARY
CESC,CESC Ltd,UTILITIES
CHALET,Chalet Hotels Ltd,CONSUMER DISCRETIONARY
CHAMBLFERT,Chambal Fertilisers and Chemicals Ltd,CHEMICALS
CHOLAFIN,Cholamandalam Investment and Finance Co Ltd,FINANCIAL SERVICES
CIPLA,Cipla Ltd,PHARMACEUTICALS
COALINDIA,Coal India Ltd,METALS & MINING
COFORGE,Coforge Ltd,IT
COLPAL,Colgate-Palmolive India Ltd,CONSUMER STAPLES
CONCOR,Container Corporation of India Ltd,INDUSTRIALS
COROMANDEL,Coromandel International Ltd,CHEMICALS
CROMPTON,Crompton Greaves Consumer Electricals Ltd,CONSUMER DISCRETIONARY
CUMMINSIND,Cummins India Ltd,CAPITAL GOODS
CYIENT,Cyient Ltd,IT
DABUR,Dabur India Ltd,CONSUMER STAPLES
DALBHARAT,Dalmia Bharat Ltd,CEMENT
DEEPAKFERT,Deepak Fertilisers and Petrochemicals Corp Ltd,CHEMICALS
DEEPAKNTR,Deepak Nitrite Ltd,CHEMICALS
DELTACORP,Delta Corp Ltd,CONSUMER DISCRETIONARY
DMART,Avenue Supermarts Ltd,CONSUMER STAPLES
ELGIEQUIP,Elgi Equipments Ltd,CAPITAL GOODS
EMAMILTD,Emami Ltd,CONSUMER STAPLES
ENDURANCE,Endurance Technologies Ltd,CONSUMER DISCRETIONARY
ENGINERSIN,Engineers India Ltd,CAPITAL GOODS
EQUITASBNK,Equitas Small Finance Bank Ltd,FINANCIAL SERVICES
ESTER,Ester Industries Ltd,CHEMICALS
EXIDEIND,Exide Industries Ltd,CONSUMER DISCRETIONARY
FEDERALBNK,Federal Bank Ltd,FINANCIAL SERVICES
FINPIPE,Finolex Industries Ltd,CONSUMER DISCRETIONARY
FLUOROCHEM,Gujarat Fluorochemicals Ltd,CHEMICALS
FORCEMOT,Force Motors Ltd,CONSUMER DISCRETIONARY
FORTIS,Fortis Healthcare Ltd,HEALTHCARE
GAIL,GAIL India Ltd,OIL & GAS
GALAXY,Galaxy Surfactants Ltd,CHEMICALS
GARFIBRES,Garware Technical Fibres Ltd,CONSUMER DISCRETIONARY
GESHIP,Great Eastern Shipping Company Ltd,INDUSTRIALS
GLENMARK,Glenmark Pharmaceuticals Ltd,PHARMACEUTICALS
GLOSTERLTD,Gloster Ltd,CONSUMER DISCRETIONARY
GMRINFRA,GMR Airports Infrastructure Ltd,INDUSTRIALS
GODREJCP,Godrej Consumer Products Ltd,CONSUMER STAPLES
GODREJIND,Godrej Industries Ltd,CONSUMER STAPLES
GODREJPROP,Godrej Properties Ltd,REAL ESTATE
GRANULES,Granules India Ltd,PHARMACEUTICALS
GRAPHITE,Graphite India Ltd,CAPITAL GOODS
GREAVESCOT,Greaves Cotton Ltd,CAPITAL GOODS
GRINDWELL,Grindwell Norton Ltd,CAPITAL GOODS
GUJGASLTD,Gujarat Gas Ltd,OIL & GAS
GUJSTATE,Gujarat State Petronet Ltd,OIL & GAS
HAPPSTMNDS,Happiest Minds Technologies Ltd,IT
HATSUN,Hatsun Agro Products Ltd,CONSUMER STAPLES
HCLTECH,HCL Technologies Ltd,IT
HDFC,Housing Development Finance Corporation Ltd,FINANCIAL SERVICES
HDFCAMC,HDFC Asset Management Company Ltd,FINANCIAL SERVICES
HDFCLIFE,HDFC Life Insurance Company Ltd,FINANCIAL SERVICES
HEROMOTOCO,Hero MotoCorp Ltd,CONSUMER DISCRETIONARY
HEXAWARE,Hexaware Technologies Ltd,IT
HIKAL,Hikal Ltd,CHEMICALS
HINDPETRO,Hindustan Petroleum Corporation Ltd,OIL & GAS
HINDUNILVR,Hindustan Unilever Ltd,CONSUMER STAPLES
HMIL,Honeywell Automation India Ltd,CAPITAL GOODS
HUDCO,Housing and Urban Development Corporation Ltd,FINANCIAL SERVICES
IDFCFIRSTB,IDFC First Bank Ltd,FINANCIAL SERVICES
INDHOTEL,Indian Hotels Company Ltd,CONSUMER DISCRETIONARY
INDIAMART,Indiamart Intermesh Ltd,IT
INDIANB,Indian Bank,FINANCIAL SERVICES
INDIGO,InterGlobe Aviation Ltd,INDUSTRIALS
INOXWIND,Inox Wind Ltd,CAPITAL GOODS
INTELLECT,Intellect Design Arena Ltd,IT
IOC,Indian Oil Corporation Ltd,OIL & GAS
IPCALAB,IPCA Laboratories Ltd,PHARMACEUTICALS
ISEC,ICICI Securities Ltd,FINANCIAL SERVICES
ITC,ITC Ltd,CONSUMER STAPLES
